"행정구역","2024년09월_계_총인구수","2024년09월_계_연령구간인구수","2024년09월_계_0~9세","2024년09월_계_10~19세","2024년09월_계_20~29세","2024년09월_계_30~39세","2024년09월_계_40~49세","2024년09월_계_50~59세","2024년09월_계_60~69세","2024년09월_계_70~79세","2024년09월_계_80~89세","2024년09월_계_90~99세","2024년09월_계_100세 이상","2024년09월_남_총인구수","2024년09월_남_연령구간인구수","2024년09월_남_0~9세","2024년09월_남_10~19세","2024년09월_남_20~29세","2024년09월_남_30~39세","2024년09월_남_40~49세","2024년09월_남_50~59세","2024년09월_남_60~69세","2024년09월_남_70~79세","2024년09월_남_80~89세","2024년09월_남_90~99세","2024년09월_남_100세 이상","2024년09월_여_총인구수","2024년09월_여_연령구간인구수","2024년09월_여_0~9세","2024년09월_여_10~19세","2024년09월_여_20~29세","2024년09월_여_30~39세","2024년09월_여_40~49세","2024년09월_여_50~59세","2024년09월_여_60~69세","2024년09월_여_70~79세","2024년09월_여_80~89세","2024년09월_여_90~99세","2024년09월_여_100세 이상"
"대전광역시 동구 삼성동(3011069500)","13,362","13,362","618","1,028","1,230","1,329","1,782","2,354","2,487","1,592","840","99","3","6,768","6,768","328","533","683","700","953","1,255","1,232","712","343","28","1","6,594","6,594","290","495","547","629","829","1,099","1,255","880","497","71","2"
"대전광역시 동구 대청동(3011072500)","2,190","2,190","36","99","151","120","173","393","578","351","241","47","1","1,152","1,152","18","42","90","82","103","230","318","171","84","14","0","1,038","1,038","18","57","61","38","70","163","260","180","157","33","1"
"대전광역시 동구 산내동(3011074000)","20,322","20,322","1,399","2,570","1,795","1,902","3,364","3,487","2,956","1,795","917","127","10","10,216","10,216","714","1,377","964","982","1,654","1,845","1,458","824","363","34","1","10,106","10,106","685","1,193","831","920","1,710","1,642","1,498","971","554","93","9"
"대전광역시 중구 (3014000000)","224,279","224,279","11,965","19,670","26,376","24,773","31,694","38,922","35,525","22,271","11,387","1,646","50","110,007","110,007","6,139","10,021","13,345","12,840","15,950","19,746","17,168","9,924","4,406","456","12","114,272","114,272","5,826","9,649","13,031","11,933","15,744","19,176","18,357","12,347","6,981","1,190","38"
"대전광역시 중구 은행선화동(3014053500)","17,669","17,669","1,399","1,276","2,420","3,084","2,763","2,649","2,170","1,251","559","92","6","8,952","8,952","699","597","1,113","1,587","1,522","1,480","1,119","586","224","23","2","8,717","8,717","700","679","1,307","1,497","1,241","1,169","1,051","665","335","69","4"
"대전광역시 중구 목동(3014055000)","17,541","17,541","1,697","2,800","1,806","2,083","3,467","2,892","1,510","804","416","63","3","8,380","8,380","851","1,364","913","961","1,619","1,475","685","341","155","16","0","9,161","9,161","846","1,436","893","1,122","1,848","1,417","825","463","261","47","3"
"대전광역시 중구 중촌동(3014056000)","13,444","13,444","873","986","1,382","1,728","1,911","2,340","2,106","1,369","647","100","2","6,523","6,523","447","514","707","909","966","1,152","987","586","226","29","0","6,921","6,921","426","472","675","819","945","1,188","1,119","783","421","71","2"
"대전광역시 중구 대흥동(3014057500)","12,882","12,882","600","980","2,329","1,765","1,824","1,927","1,794","1,034","521","104","4","6,353","6,353","337","501","1,055","916","923","1,040","891","452","197","39","2","6,529","6,529","263","479","1,274","849","901","887","903","582","324","65","2"
"대전광역시 중구 문창동(3014060500)","4,226","4,226","117","250","364","340","476","729","953","572","361","62","2","2,164","2,164","68","140","184","190","274","428","495","246","132","7","0","2,062","2,062","49","110","180","150","202","301","458","326","229","55","2"
"대전광역시 중구 석교동(3014062000)","14,410","14,410","461","897","1,368","1,286","1,662","2,551","3,121","1,969","982","111","2","7,282","7,282","246","458","758","722","924","1,314","1,538","908","392","21","1","7,128","7,128","215","439","610","564","738","1,237","1,583","1,061","590","90","1"
"대전광역시 중구 대사동(3014063000)","5,210","5,210","127","244","901","605","511","795","966","605","405","49","2","2,554","2,554","75","145","397","331","289","416","464","266","155","16","0","2,656","2,656","52","99","504","274","222","379","502","339","250","33","2"
"대전광역시 중구 부사동(3014064000)","6,232","6,232","220","365","594","590","748","1,111","1,263","844","427","67","3","3,153","3,153","123","206","302","342","411","586","620","379","172","12","0","3,079","3,079","97","159","292","248","337","525","643","465","255","55","3"
"대전광역시 중구 용두동(3014065500)","9,756","9,756","515","697","1,694","1,503","1,352","1,511","1,135","781","521","47","0","4,732","4,732","240","332","801","775","698","797","556","325","192","16","0","5,024","5,024","275","365","893","728","654","714","579","456","329","31","0"
"대전광역시 중구 오류동(3014067000)","10,091","10,091","508","657","1,289","1,310","1,261","1,774","1,507","1,047","616","118","4","4,697","4,697","252","317","600","667","612","839","723","433","217","36","1","5,394","5,394","256","340","689","643","649","935","784","614","399","82","3"
"대전광역시 중구 태평1동(3014068000)","12,537","12,537","786","1,357","1,310","1,219","2,046","2,309","1,728","1,130","583","67","2","6,027","6,027","394","668","694","602","982","1,135","824","493","218","16","1","6,510","6,510","392","689","616","617","1,064","1,174","904","637","365","51","1"
"대전광역시 중구 태평2동(3014069000)","24,077","24,077","1,293","2,682","2,581","1,926","3,495","4,497","3,672","2,528","1,213","186","4","11,455","11,455","664","1,359","1,363","928","1,610","2,130","1,727","1,105","508","60","1","12,622","12,622","629","1,323","1,218","998","1,885","2,367","1,945","1,423","705","126","3"
"대전광역시 중구 유천1동(3014070000)","5,776","5,776","214","263","636","704","780","1,014","1,158","647","309","49","2","2,966","2,966","117","138","342","395","445","541","557","303","114","13","1","2,810","2,810","97","125","294","309","335","473","601","344","195","36","1"
"대전광역시 중구 유천2동(3014071000)","13,001","13,001","576","915","1,551","1,379","1,663","2,073","2,342","1,591","805","102","4","6,410","6,410","287","490","792","731","857","1,022","1,135","726","338","31","1","6,591","6,591","289","425","759","648","806","1,051","1,207","865","467","71","3"
"대전광역시 중구 문화1동(3014072000)","20,539","20,539","1,305","2,509","2,502","1,876","3,209","3,595","2,687","1,773","953","127","3","9,940","9,940","696","1,310","1,278","895","1,490","1,781","1,274","790","382","42","2","10,599","10,599","609","1,199","1,224","981","1,719","1,814","1,413","983","571","85","1"
"대전광역시 중구 문화2동(3014073000)","11,504","11,504","362","851","1,122","1,162","1,360","2,207","2,199","1,303","796","138","4","5,544","5,544","186","454","618","660","684","1,088","1,004","533","279","38","0","5,960","5,960","176","397","504","502","676","1,119","1,195","770","517","100","4"
"대전광역시 중구 산성동(3014074000)","25,384","25,384","912","1,941","2,527","2,213","3,166","4,948","5,214","3,023","1,273","164","3","12,875","12,875","457","1,028","1,428","1,229","1,644","2,522","2,569","1,452","505","41","0","12,509","12,509","455","913","1,099","984","1,522","2,426","2,645","1,571","768","123","3"
"대전광역시 서구 (3017000000)","459,585","459,585","29,210","45,486","66,241","62,829","70,176","77,033","62,300","30,223","13,850","2,188","49","225,295","225,295","15,012","23,415","33,346","32,695","34,147","37,260","29,620","13,925","5,334","533","8","234,290","234,290","14,198","22,071","32,895","30,134","36,029","39,773","32,680","16,298","8,516","1,655","41"
"대전광역시 서구 복수동(3017051000)","21,545","21,545","1,450","2,803","2,678","2,127","3,641","3,943","2,681","1,510","631","77","4","10,669","10,669","718","1,412","1,441","1,073","1,715","2,016","1,290","717","267","18","2","10,876","10,876","732","1,391","1,237","1,054","1,926","1,927","1,391","793","364","59","2"
"대전광역시 서구 도마1동(3017052000)","18,776","18,776","1,182","1,221","2,776","2,512","2,318","2,878","3,091","1,844","825","127","2","9,457","9,457","599","633","1,543","1,348","1,250","1,409","1,462","843","338","32","0","9,319","9,319","583","588","1,233","1,164","1,068","1,469","1,629","1,001","487","95","2"
"대전광역시 서구 도마2동(3017053000)","16,244","16,244","608","1,185","2,061","1,696","1,887","2,816","3,103","1,915","846","121","6","8,131","8,131","334","622","1,142","946","999","1,394","1,447","871","348","27","1","8,113","8,113","274","563","919","750","888","1,422","1,656","1,044","498","94","5"
"대전광역시 서구 정림동(3017053500)","15,148","15,148","728","1,272","1,541","1,450","1,928","2,743","3,142","1,521","704","119","0","7,343","7,343","399","694","819","760","968","1,272","1,467","678","257","29","0","7,805","7,805","329","578","722","690","960","1,471","1,675","843","447","90","0"
"대전광역시 서구 변동(3017054000)","12,940","12,940","610","923","1,406","1,527","1,727","2,261","2,402","1,385","617","80","2","6,538","6,538","322","488","733","849","918","1,158","1,130","653","259","28","0","6,402","6,402","288","435","673","678","809","1,103","1,272","732","358","52","2"
"대전광역시 서구 용문동(3017055000)","11,716","11,716","432","498","2,160","2,119","1,531","1,739","1,643","1,008","505","80","1","5,577","5,577","197","256","991","1,124","807","819","749","425","185","24","0","6,139","6,139","235","242","1,169","995","724","920","894","583","320","56","1"
"대전광역시 서구 탄방동(3017055500)","26,487","26,487","1,309","2,153","4,924","4,710","4,046","4,228","3,113","1,306","603","94","1","12,730","12,730","714","1,102","2,229","2,423","1,926","2,049","1,453","600","213","21","0","13,757","13,757","595","1,051","2,695","2,287","2,120","2,179","1,660","706","390","73","1"
"대전광역시 서구 괴정동(3017056000)","18,490","18,490","762","1,174","4,191","3,721","2,541","2,523","1,988","1,075","457","57","1","8,983","8,983","377","589","1,778","2,044","1,354","1,218","918","497","192","16","0","9,507","9,507","385","585","2,413","1,677","1,187","1,305","1,070","578","265","41","1"
"대전광역시 서구 가장동(3017057000)","10,753","10,753","546","931","1,317","1,207","1,534","1,893","1,677","1,084","494","69","1","5,188","5,188","293","455","632","657","785","895","762","479","210","20","0","5,565","5,565","253","476","685","550","749","998","915","605","284","49","1"
"대전광역시 서구 내동(3017057500)","22,466","22,466","1,302","2,349","2,721","2,387","3,440","3,891","3,438","1,942","866","129","1","10,778","10,778","672","1,155","1,355","1,245","1,650","1,857","1,585","876","355","28","0","11,688","11,688","630","1,194","1,366","1,142","1,790","2,034","1,853","1,066","511","101","1"
"대전광역시 서구 갈마1동(3017058100)","21,009","21,009","805","1,382","4,118","3,460","2,794","3,184","3,202","1,391","577","94","2","10,636","10,636","405","727","2,087","2,012","1,437","1,568","1,494","654","227","23","2","10,373","10,373","400","655","2,031","1,448","1,357","1,616","1,708","737","350","71","0"
"대전광역시 서구 갈마2동(3017058200)","23,862","23,862","983","1,696","5,086","4,292","3,264","3,902","2,989","1,120","467","63","0","11,993","11,993","494","859","2,448","2,448","1,687","1,889","1,459","505","188","16","0","11,869","11,869","489","837","2,638","1,844","1,577","2,013","1,530","615","279","47","0"
"대전광역시 서구 월평1동(3017058600)","11,134","11,134","291","474","2,891","2,056","1,334","1,685","1,448","621","296","38","0","6,042","6,042","154","249","1,591","1,243","793","865","729","297","117","4","0","5,092","5,092","137","225","1,300","813","541","820","719","324","179","34","0"
"대전광역시 서구 월평2동(3017058700)","13,485","13,485","579","1,129","1,425","1,379","1,584","2,432","2,659","1,344","779","169","6","6,385","6,385","298","570","767","729","736","1,122","1,268","615","246","33","1","7,100","7,100","281","559","658","650","848","1,310","1,391","729","533","136","5"
"대전광역시 서구 월평3동(3017058800)","20,184","20,184","1,403","2,332","2,172","2,410","2,972","3,625","3,438","1,230","502","100","0","9,821","9,821","747","1,237","1,234","1,151","1,363","1,652","1,618","608","185","26","0","10,363","10,363","656","1,095","938","1,259","1,609","1,973","1,820","622","317","74","0"
"대전광역시 서구 가수원동(3017059000)","10,268","10,268","456","858","1,106","1,078","1,283","1,833","2,020","1,029","534","68","3","5,016","5,016","231","437","615","568","655","888","928","479","194","20","1","5,252","5,252","225","421","491","510","628","945","1,092","550","340","48","2"
"대전광역시 서구 도안동(3017059300)","36,508","36,508","4,824","5,064","4,048","5,732","7,626","4,981","2,920","965","291","56","1","17,866","17,866","2,453","2,583","1,917","2,670","3,721","2,489","1,426","477","118","12","0","18,642","18,642","2,371","2,481","2,131","3,062","3,905","2,492","1,494","488","173","44","1"
"대전광역시 서구 관저1동(3017059600)","14,773","14,773","886","1,391","2,499","1,895","2,039","2,628","2,014","856","485","78","2","6,910","6,910","462","731","1,144","925","936","1,165","980","372","180","14","1","7,863","7,863","424","660","1,355","970","1,103","1,463","1,034","484","305","64","1"
"대전광역시 서구 관저2동(3017059700)","48,104","48,104","4,507","5,906","6,255","6,625","8,706","8,364","4,691","1,991","910","145","4","23,420","23,420","2,292","2,999","3,175","3,268","4,175","4,049","2,221","884","324","33","0","24,684","24,684","2,215","2,907","3,080","3,357","4,531","4,315","2,470","1,107","586","112","4"
"대전광역시 서구 기성동(3017060000)","3,385","3,385","64","143","198","212","325","571","780","566","433","86","7","1,743","1,743","38","73","116","113","187","321","442","283","153","17","0","1,642","1,642","26","70","82","99","138","250","338","283","280","69","7"
"대전광역시 서구 둔산1동(3017063000)","16,343","16,343","1,305","3,242","1,421","1,170","3,646","2,786","1,417","864","424","67","1","8,063","8,063","660","1,709","784","516","1,601","1,460","724","409","179","21","0","8,280","8,280","645","1,533","637","654","2,045","1,326","693","455","245","46","1"
"대전광역시 서구 둔산2동(3017064000)","35,005","35,005","2,560","3,611","4,929","5,513","5,427","6,471","4,191","1,553","647","102","1","16,810","16,810","1,325","1,854","2,390","2,728","2,448","2,989","2,044","759","250","23","0","18,195","18,195","1,235","1,757","2,539","2,785","2,979","3,482","2,147","794","397","79","1"
"대전광역시 서구 만년동(3017065000)","12,097","12,097","718","1,065","2,130","2,025","1,625","2,180","1,535","536","246","37","0","6,147","6,147","362","563","1,256","1,094","736","1,035","756","247","89","9","0","5,950","5,950","356","502","874","931","889","1,145","779","289","157","28","0"
"대전광역시 서구 둔산3동(3017066000)","18,863","18,863","900","2,684","2,188","1,526","2,958","3,476","2,718","1,567","711","132","3","9,049","9,049","466","1,418","1,159","761","1,300","1,681","1,268","697","260","39","0","9,814","9,814","434","1,266","1,029","765","1,658","1,795","1,450","870","451","93","3"
"대전광역시 유성구 (3020000000)","369,405","369,405","31,222","38,327","53,689","58,346","59,850","58,982","42,889","17,000","7,649","1,410","41","187,104","187,104","16,143","19,782","28,980","30,983","29,711","29,067","21,067","8,225","2,812","330","4","182,301","182,301","15,079","18,545","24,709","27,363","30,139","29,915","21,822","8,775","4,837","1,080","37"
"대전광역시 유성구 진잠동(3020052000)","25,367","25,367","1,536","2,295","3,096","3,106","3,757","4,925","3,851","1,748","899","149","5","12,902","12,902","806","1,208","1,684","1,714","1,917","2,468","1,941","798","333","33","0","12,465","12,465","730","1,087","1,412","1,392","1,840","2,457","1,910","950","566","116","5"
"대전광역시 유성구 학하동(3020052600)","19,531","19,531","1,821","1,486","3,177","3,270","2,961","2,810","2,773","857","305","70","1","10,139","10,139","944","755","1,869","1,699","1,551","1,341","1,369","477","117","17","0","9,392","9,392","877","731","1,308","1,571","1,410","1,469","1,404","380","188","53","1"
"대전광역시 유성구 상대동(3020052700)","25,109","25,109","2,723","3,595","2,322","2,977","4,851","4,229","2,980","987","365","78","2","12,215","12,215","1,390","1,831","1,218","1,318","2,284","2,057","1,484","480","145","8","0","12,894","12,894","1,333","1,764","1,104","1,659","2,567","2,172","1,496","507","220","70","2"
"대전광역시 유성구 온천1동(3020053000)","26,674","26,674","716","869","6,538","5,631","3,044","3,776","3,536","1,638","799","120","7","13,863","13,863","370","442","3,197","3,248","1,751","1,944","1,809","753","315","33","1","12,811","12,811","346","427","3,341","2,383","1,293","1,832","1,727","885","484","87","6"
"대전광역시 유성구 온천2동(3020054000)","40,641","40,641","2,813","3,074","9,907","5,805","5,247","5,574","5,076","2,120","850","172","3","21,412","21,412","1,414","1,591","5,791","3,274","2,721","2,705","2,450","1,103","317","46","0","19,229","19,229","1,399","1,483","4,116","2,531","2,526","2,869","2,626","1,017","533","126","3"
"대전광역시 유성구 노은1동(3020054600)","20,958","20,958","1,637","2,784","2,570","3,034","3,680","3,557","2,116","1,039","463","74","4","10,420","10,420","848","1,455","1,317","1,580","1,718","1,790","1,017","490","187","16","2","10,538","10,538","789","1,329","1,253","1,454","1,962","1,767","1,099","549","276","58","2"
"대전광역시 유성구 노은2동(3020054700)","23,419","23,419","1,652","3,071","2,885","2,761","3,982","4,314","2,736","1,189","717","109","3","11,461","11,461","849","1,556","1,526","1,398","1,852","2,085","1,368","531","263","33","0","11,958","11,958","803","1,515","1,359","1,363","2,130","2,229","1,368","658","454","76","3"
"대전광역시 유성구 노은3동(3020054800)","36,256","36,256","3,749","4,660","3,431","4,905","7,093","5,822","4,045","1,774","655","119","3","17,766","17,766","1,935","2,391","1,785","2,366","3,425","2,809","1,890","860","277","28","0","18,490","18,490","1,814","2,269","1,646","2,539","3,668","3,013","2,155","914","378","91","3"
"대전광역시 유성구 신성동(3020055000)","25,532","25,532","2,320","2,606","4,120","5,155","3,853","3,607","2,459","891","438","82","1","13,443","13,443","1,213","1,401","2,217","2,951","1,960","1,818","1,231","459","173","20","0","12,089","12,089","1,107","1,205","1,903","2,204","1,893","1,789","1,228","432","265","62","1"
"대전광역시 유성구 전민동(3020057000)","25,805","25,805","2,107","2,796","3,698","4,341","3,875","4,186","3,199","983","477","142","1","13,297","13,297","1,108","1,428","2,089","2,446","1,896","2,001","1,628","514","151","36","0","12,508","12,508","999","1,368","1,609","1,895","1,979","2,185","1,571","469","326","106","1"
"대전광역시 유성구 구즉동(3020058000)","32,869","32,869","2,836","3,006","4,309","6,143","5,079","5,570","3,574","1,447","777","123","5","16,840","16,840","1,447","1,545","2,403","3,351","2,616","2,782","1,801","632","228","35","0","16,029","16,029","1,389","1,461","1,906","2,792","2,463","2,788","1,773","815","549","88","5"
"대전광역시 유성구 관평동(3020060000)","37,160","37,160","4,049","5,052","4,557","5,955","6,916","6,196","3,043","937","375","78","2","18,980","18,980","2,066","2,614","2,399","3,116","3,382","3,225","1,570","473","123","11","1","18,180","18,180","1,983","2,438","2,158","2,839","3,534","2,971","1,473","464","252","67","1"
"대전광역시 유성구 원신흥동(3020061000)","30,084","30,084","3,263","3,033","3,079","5,263","5,512","4,416","3,501","1,390","529","94","4","14,366","14,366","1,753","1,565","1,485","2,522","2,638","2,042","1,509","655","183","14","0","15,718","15,718","1,510","1,468","1,594","2,741","2,874","2,374","1,992","735","346","80","4"
"대전광역시 대덕구 (3023000000)","169,171","169,171","8,491","13,948","20,646","19,622","22,746","33,012","29,180","13,754","6,786","952","34","85,933","85,933","4,337","7,273","11,305","11,000","11,801","16,721","14,483","6,335","2,447","229","2","83,238","83,238","4,154","6,675","9,341","8,622","10,945","16,291","14,697","7,419","4,339","723","32"
"대전광역시 대덕구 오정동(3023051000)","13,704","13,704","424","890","2,137","1,373","1,544","2,402","2,733","1,501","602","94","4","7,140","7,140","215","464","1,080","813","871","1,335","1,378","717","243","24","0","6,564","6,564","209","426","1,057","560","673","1,067","1,355","784","359","70","4"
"대전광역시 대덕구 대화동(3023052000)","6,209","6,209","181","387","616","652","850","1,207","1,222","735","316","42","1","3,256","3,256","100","217","340","382","463","661","629","345","112","7","0","2,953","2,953","81","170","276","270","387","546","593","390","204","35","1"
"대전광역시 대덕구 회덕동(3023052500)","12,773","12,773","607","846","1,241","1,519","1,504","2,397","2,588","1,264","711","95","1","6,524","6,524","319","447","669","879","810","1,208","1,306","592","263","31","0","6,249","6,249","288","399","572","640","694","1,189","1,282","672","448","64","1"
"대전광역시 대덕구 비래동(3023053300)","15,031","15,031","589","1,293","1,816","1,357","1,913","3,128","2,836","1,368","638","89","4","7,450","7,450","310","676","975","770","959","1,517","1,343","634","242","22","2","7,581","7,581","279","617","841","587","954","1,611","1,493","734","396","67","2"
"대전광역시 대덕구 송촌동(3023054300)","25,639","25,639","1,424","3,098","3,449","2,452","3,830","5,715","3,589","1,257","715","106","4","12,696","12,696","706","1,567","1,861","1,296","1,767","2,798","1,855","551","267","28","0","12,943","12,943","718","1,531","1,588","1,156","2,063","2,917","1,734","706","448","78","4"
"대전광역시 대덕구 중리동(3023054600)","18,231","18,231","595","1,234","2,499","2,054","2,416","3,592","3,413","1,584","767","75","2","9,551","9,551","303","662","1,386","1,222","1,321","1,928","1,673","744","294","18","0","8,680","8,680","292","572","1,113","832","1,095","1,664","1,740","840","473","57","2"
"대전광역시 대덕구 신탄진동(3023055000)","15,781","15,781","948","1,073","1,784","2,332","2,070","2,976","2,590","1,284","633","88","3","8,118","8,118","466","575","1,014","1,286","1,095","1,526","1,285","616","234","21","0","7,663","7,663","482","498","770","1,046","975","1,450","1,305","668","399","67","3"
"대전광역시 대덕구 석봉동(3023056000)","16,031","16,031","1,565","1,678","1,641","2,517","2,751","2,602","2,053","776","392","55","1","8,187","8,187","807","882","902","1,301","1,468","1,277","1,028","377","132","13","0","7,844","7,844","758","796","739","1,216","1,283","1,325","1,025","399","260","42","1"
"대전광역시 대덕구 덕암동(3023057000)","12,698","12,698","503","860","1,754","1,605","1,617","2,535","2,066","1,090","570","94","4","6,839","6,839","263","448","1,030","996","876","1,407","1,069","519","213","18","0","5,859","5,859","240","412","724","609","741","1,128","997","571","357","76","4"
"대전광역시 대덕구 목상동(3023058000)","5,999","5,999","269","487","835","901","975","1,134","875","330","173","18","2","3,266","3,266","141","247","462","568","566","630","439","153","57","3","0","2,733","2,733","128","240","373","333","409","504","436","177","116","15","2"
"대전광역시 대덕구 법1동(3023060000)","12,248","12,248","718","905","1,215","1,509","1,509","2,350","2,179","1,181","579","99","4","5,727","5,727","353","455","647","769","766","1,059","1,021","469","169","19","0","6,521","6,521","365","450","568","740","743","1,291","1,158","712","410","80","4"
"대전광역시 대덕구 법2동(3023061000)","14,827","14,827","668","1,197","1,659","1,351","1,767","2,974","3,036","1,384","690","97","4","7,179","7,179","354","633","939","718","839","1,375","1,457","618","221","25","0","7,648","7,648","314","564","720","633","928","1,599","1,579","766","469","72","4"
"울산광역시  (3100000000)","1,098,728","1,098,728","74,378","109,117","118,259","136,479","174,369","203,608","173,720","75,772","28,985","3,956","85","565,067","565,067","38,109","56,762","67,717","74,597","90,003","102,100","87,690","36,676","10,587","816","10","533,661","533,661","36,269","52,355","50,542","61,882","84,366","101,508","86,030","39,096","18,398","3,140","75"
"울산광역시 중구 (3111000000)","207,268","207,268","12,758","18,989","20,806","24,636","30,793","38,385","35,900","17,392","6,775","823","11","104,873","104,873","6,595","9,967","11,789","13,297","15,814","18,993","17,558","8,144","2,539","175","2","102,395","102,395","6,163","9,022","9,017","11,339","14,979","19,392","18,342","9,248","4,236","648","9"
"울산광역시 중구 학성동(3111051000)","10,675","10,675","445","598","1,021","1,346","1,302","1,819","2,108","1,394","587","54","1","5,470","5,470","233","310","554","781","726","978","1,034","617","228","9","0","5,205","5,205","212","288","467","565","576","841","1,074","777","359","45","1"
"울산광역시 중구 반구1동(3111052000)","15,577","15,577","924","1,254","1,499","1,963","2,398","2,899","2,856","1,295","434","54","1","8,144","8,144","466","651","879","1,085","1,320","1,482","1,443","632","174","11","1","7,433","7,433","458","603","620","878","1,078","1,417","1,413","663","260","43","0"
"울산광역시 중구 반구2동(3111053000)","8,192","8,192","260","489","1,014","979","973","1,571","1,595","904","359","48","0","4,167","4,167","137","257","573","541","532","783","752","414","165","13","0","4,025","4,025","123","232","441","438","441","788","843","490","194","35","0"
"울산광역시 중구 복산동(3111055500)","20,933","20,933","2,205","1,743","1,996","3,926","3,146","3,212","2,821","1,342","477","65","0","10,475","10,475","1,148","895","1,098","2,044","1,615","1,515","1,358","616","173","13","0","10,458","10,458","1,057","848","898","1,882","1,531","1,697","1,463","726","304","52","0"
"울산광역시 중구 중앙동(3111058500)","11,281","11,281","283","504","1,058","1,143","1,268","2,054","2,646","1,567","680","78","0","5,857","5,857","155","250","618","674","738","1,091","1,331","726","256","18","0","5,424","5,424","128","254","440","469","530","963","1,315","841","424","60","0"
"울산광역시 중구 우정동(3111059000)","17,762","17,762","974","1,509","1,743","2,140","2,441","3,154","3,248","1,738","710","105","0","8,803","8,803","523","831","955","1,119","1,231","1,524","1,555","769","268","28","0","8,959","8,959","451","678","788","1,021","1,210","1,630","1,693","969","442","77","0"
"울산광역시 중구 태화동(3111060000)","31,407","31,407","2,423","3,648","2,864","3,690","5,362","5,544","4,890","2,113","790","82","1","15,586","15,586","1,263","1,942","1,569","1,930","2,570","2,670","2,324","1,016","283","19","0","15,821","15,821","1,160","1,706","1,295","1,760","2,792","2,874","2,566","1,097","507","63","1"
"울산광역시 중구 다운동(3111061000)","21,064","21,064","673","1,556","2,437","1,826","2,371","4,547","4,413","2,171","938","130","2","10,684","10,684","361","792","1,453","1,066","1,215","2,246","2,180","998","345","27","1","10,380","10,380","312","764","984","760","1,156","2,301","2,233","1,173","593","103","1"
"울산광역시 중구 병영1동(3111062000)","20,523","20,523","1,041","1,929","2,208","1,996","2,742","4,170","4,011","1,757","598","70","1","10,414","10,414","518","1,030","1,261","1,112","1,362","2,051","1,979","849","235","17","0","10,109","10,109","523","899","947","884","1,380","2,119","2,032","908","363","53","1"
"울산광역시 중구 병영2동(3111063000)","19,273","19,273","1,339","2,036","1,728","2,202","3,245","3,363","3,385","1,382","540","51","2","9,707","9,707","665","1,060","986","1,197","1,697","1,647","1,627","639","184","5","0","9,566","9,566","674","976","742","1,005","1,548","1,716","1,758","743","356","46","2"
"울산광역시 중구 약사동(3111064000)","10,510","10,510","1,028","1,292","1,044","1,409","1,828","1,906","1,306","491","180","26","0","5,287","5,287","525","679","589","689","907","914","665","246","67","6","0","5,223","5,223","503","613","455","720","921","992","641","245","113","20","0"
"울산광역시 중구 성안동(3111065000)","20,071","20,071","1,163","2,431","2,194","2,016","3,717","4,146","2,621","1,238","482","60","3","10,279","10,279","601","1,270","1,254","1,059","1,901","2,092","1,310","622","161","9","0","9,792","9,792","562","1,161","940","957","1,816","2,054","1,311","616","321","51","3"
"울산광역시 남구 (3114000000)","304,818","304,818","18,774","27,759","37,077","40,495","45,521","58,273","47,987","20,703","7,323","890","16","155,696","155,696","9,635","14,543","21,014","22,273","22,898","28,664","23,771","9,909","2,775","212","2","149,122","149,122","9,139","13,216","16,063","18,222","22,623","29,609","24,216","10,794","4,548","678","14"
"울산광역시 남구 신정1동(3114051000)","17,686","17,686","713","991","1,896","2,425","2,181","3,081","3,599","1,989","743","67","1","8,865","8,865","373","516","1,032","1,379","1,151","1,531","1,688","909","276","10","0","8,821","8,821","340","475","864","1,046","1,030","1,550","1,911","1,080","467","57","1"
"울산광역시 남구 신정2동(3114052000)","24,596","24,596","1,816","3,149","2,536","2,735","4,273","4,740","3,272","1,500","508","66","1","12,503","12,503","951","1,643","1,449","1,431","2,061","2,349","1,681","698","220","20","0","12,093","12,093","865","1,506","1,087","1,304","2,212","2,391","1,591","802","288","46","1"
"울산광역시 남구 신정3동(3114053000)","15,565","15,565","957","1,232","1,542","1,889","2,212","2,953","2,873","1,348","495","63","1","7,890","7,890","458","648","867","1,008","1,154","1,502","1,416","624","195","17","1","7,675","7,675","499","584","675","881","1,058","1,451","1,457","724","300","46","0"
"울산광역시 남구 신정4동(3114054000)","19,583","19,583","1,288","2,211","2,241","2,387","3,145","3,586","2,853","1,362","457","53","0","9,851","9,851","632","1,155","1,236","1,301","1,501","1,797","1,382","641","195","11","0","9,732","9,732","656","1,056","1,005","1,086","1,644","1,789","1,471","721","262","42","0"
"울산광역시 남구 신정5동(3114055000)","8,333","8,333","351","551","1,103","1,221","1,187","1,566","1,395","685","250","24","0","4,481","4,481","185","295","622","729","665","831","709","338","101","6","0","3,852","3,852","166","256","481","492","522","735","686","347","149","18","0"
"울산광역시 남구 달동(3114056000)","25,763","25,763","1,082","1,793","3,361","3,680","3,713","4,875","4,562","1,856","741","98","2","13,104","13,104","560","959","1,854","2,125","1,927","2,328","2,211","867","251","22","0","12,659","12,659","522","834","1,507","1,555","1,786","2,547","2,351","989","490","76","2"
"울산광역시 남구 삼산동(3114057000)","47,315","47,315","2,605","3,881","6,846","7,373","7,448","9,239","6,714","2,430","668","110","1","24,974","24,974","1,342","2,010","3,942","4,247","3,805","4,644","3,418","1,282","264","20","0","22,341","22,341","1,263","1,871","2,904","3,126","3,643","4,595","3,296","1,148","404","90","1"
