시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
대구,서구,평리6동,41763,대구광역시 서구 서대구로41길 41,평리6동행정복지센터,128.5500837,35.8765877,2717066100,5563,A1300007,8.554,A1300110,10.9908,A1300006,11.1147,A1300004,14.561,20241114_112003
대구,수성구,고산1동,42277,대구광역시 수성구 달구벌대로 3260-2,고산1동행정복지센터,128.712388,35.8371144,2726067000,31192,A1300081,5.4095,A2700036,8.5476,A2700019,12.1655,A1300009,22.7214,20241114_112004
대구,수성구,고산2동,42262,대구광역시 수성구 달구벌대로 3091,고산2동행정복지센터,128.6951688,35.8434019,2726068000,26469,A1300081,3.9816,A2700036,13.3729,A1300018,15.7802,A1300009,17.7449,20241114_112005
대구,수성구,고산3동,42266,대구광역시 수성구 고산로 152,고산3동행정복지센터,128.7065669,35.8441109,2726069000,30143,A1300081,2.7941,A2700036,11.1213,A2700019,13.4221,A1300009,20.9461,20241114_112006
대구,수성구,두산동,42172,대구광역시 수성구 상화로 95,두산동행정복지센터,128.6175259,35.8353136,2726064000,14652,A1300002,10.8653,A1300001,12.752,A1300033,13.0127,A1300002,10.8653,20241114_112008
대구,수성구,만촌1동,42043,대구광역시 수성구 국채보상로 1001,만촌1동행정복지센터,128.6399664,35.8663111,2726055000,20770,A1300033,8.2523,A1300009,11.0604,A1300002,12.2827,A1300009,11.0604,20241114_112009
대구,수성구,만촌2동,42066,대구광역시 수성구 무열로 12,만촌2동행정복지센터,128.6472178,35.8598566,2726056000,10381,A1300033,12.6442,A1300002,12.6608,A1300009,14.0695,A1300009,13.3088,20241114_112009
대구,수성구,만촌3동,42068,대구광역시 수성구 교학로2길 45,만촌3동행정복지센터,128.650625,35.855499,2726056100,21039,A1300081,11.8454,A1300033,13.3699,A1300002,14.4326,A1300002,14.4336,20241114_112011
대구,수성구,범물1동,42241,대구광역시 수성구 범안로 76,범물1동행정복지센터,128.6459696,35.817762,2726066100,10150,A1300081,11.4135,A1300018,14.5745,A1300002,17.8162,A1300002,17.8142,20241114_112012
대구,수성구,범물2동,42242,대구광역시 수성구 범안로 52,범물2동행정복지센터,128.6434402,35.8175861,2726066200,15939,A1300002,15.7657,A1300018,15.9167,A1300033,17.4084,A1300002,15.7657,20241114_112014
대구,수성구,범어1동,42116,대구광역시 수성구 범어천로 97,범어1동행정복지센터,128.6220352,35.8555656,2726051000,20205,A1300033,8.1641,A1300002,8.5137,A1300009,13.5828,A1300002,8.5137,20241114_112016
대구,수성구,범어2동,42026,대구광역시 수성구 달구벌대로489안길 47,범어2동행정복지센터,128.6310757,35.8622691,2726052000,14360,A1300033,9.6935,A1300002,9.7102,A1300009,13.9315,A1300002,9.7102,20241114_112017
대구,수성구,범어3동,42013,대구광역시 수성구 상록로 42,범어3동행정복지센터,128.6241846,35.8632763,2726053000,17501,A1300033,6.2138,A1300002,7.3938,A1300009,11.0391,A1300002,7.3938,20241114_112017
대구,수성구,범어4동,42088,대구광역시 수성구 달구벌대로504길 26,범어4동행정복지센터,128.6381714,35.8561882,2726054000,19068,A1300033,11.8797,A1300002,11.8963,A1300009,16.1177,A1300002,11.8963,20241114_112018
대구,수성구,상동,42168,대구광역시 수성구 들안로9길 56,상동행정복지센터,128.6154039,35.8321069,2726062000,14575,A1300002,11.855,A1300033,13.421,A1300001,15.342,A1300002,11.855,20241114_112020
대구,수성구,수성1가동,42127,대구광역시 수성구 명덕로73길 7,수성1가동행정복지센터,128.6103112,35.8552321,2726057000,16958,A1300002,5.8434,A1300033,7.1481,A1300001,11.3856,A1300002,5.8434,20241114_112021
대구,수성구,수성2.3가동,42119,대구광역시 수성구 명덕로 443-2,수성2·3가동행정복지센터,128.6190324,35.8547729,2726058000,10515,A1300033,7.0147,A1300002,7.5958,A1300008,13.2651,A1300002,7.5958,20241114_112022
대구,수성구,수성4가동,42005,대구광역시 수성구 들안로67길 64,수성4가동행정복지센터,128.616638,35.862665,2726059000,13365,A1300033,5.8774,A1300002,6.0686,A1300009,11.4658,A1300002,6.0686,20241114_112023
대구,수성구,중동,42134,대구광역시 수성구 수성로50길 38,중동행정복지센터,128.6150346,35.847374,2726061000,14462,A1300002,9.0605,A1300033,10.3652,A1300001,11.9111,A1300002,9.0605,20241114_112024
대구,수성구,지산1동,42196,대구광역시 수성구 지범로21길 16,지산1동행정복지센터,128.6370121,35.8248724,2726065100,19487,A1300002,16.7535,A1300033,18.3564,A1300018,19.627,A1300002,16.7535,20241114_112025
대구,수성구,지산2동,42216,대구광역시 수성구 용학로33길 9,지산2동행정복지센터,128.6280122,35.8231297,2726065200,18800,A1300002,17.1133,A1300033,18.712,A1300001,20.6185,A1300002,17.1133,20241114_112027
대구,수성구,파동,42231,대구광역시 수성구 파동로 136,파동행정복지센터,128.6151312,35.8154478,2726063000,15219,A1300002,13.9965,A1300033,15.5866,A1300034,16.0732,A1300002,13.9963,20241114_112028
대구,수성구,황금1동,42111,대구광역시 수성구 청호로57길 10,황금1동행정복지센터,128.6381715,35.8439538,2726060100,21890,A1300002,16.1566,A1300033,18.0915,A1300009,20.0653,A1300002,16.1566,20241114_112029
대구,수성구,황금2동,42144,대구광역시 수성구 청솔로2길 64,황금2동행정복지센터,128.6237245,35.8471947,2726060200,11337,A1300033,10.8279,A1300002,11.8086,A1300001,14.6593,A1300002,11.8086,20241114_112030
대구,중구,남산1동,41968,대구광역시 중구 2.28길 18-15,남산1동행정복지센터,128.5904272,35.8593362,2711064000,4327,A1300001,6.2288,A1303386,7.7554,A1300076,8.8559,A1300001,6.2288,20241114_112031
대구,중구,남산2동,41966,대구광역시 중구 명륜로 27-1,남산2동행정복지센터,128.5895375,35.8640404,2711065000,7182,A1303386,6.1551,A1300008,6.672,A1300002,9.3759,A1300002,9.3759,20241114_112032
대구,중구,남산3동,41969,대구광역시 중구 남산로4길 70,남산3동행정복지센터,128.5854883,35.8598713,2711066000,6070,A1303386,5.8014,A1300001,7.8841,A1300034,9.409,A1300001,7.8841,20241114_112033
대구,중구,남산4동,41977,대구광역시 중구 남산로1길 42,남산4동행정복지센터,128.5805738,35.8581982,2711067000,16274,A1300001,5.5687,A1300076,6.1255,A1303386,7.0331,A1300001,5.5687,20241114_112034
대구,중구,대봉1동,41951,대구광역시 중구 달구벌대로440길 27,대봉1동행정복지센터,128.6043,35.861649,2711068000,7757,A1300002,2.8832,A1300033,8.1085,A1300008,8.8313,A1300002,2.8832,20241114_112034
대구,중구,대봉2동,41955,대구광역시 중구 대봉로47길 31,대봉2동행정복지센터,128.5993473,35.8587666,2711069000,4644,A1300002,4.7862,A1300001,8.756,A1300008,9.6628,A1300002,4.7862,20241114_112035
대구,중구,대신동,41929,대구광역시 중구 달구벌대로389길 50,대신동행정복지센터,128.5762676,35.8655452,2711059500,7436,A1303386,6.5611,A1300076,7.5104,A1300001,9.7579,A1300004,11.4024,20241114_112036
대구,중구,동인동,41946,대구광역시 중구 국채보상로142길 19-5,동인동행정복지센터,128.6091498,35.8679123,2711051700,9723,A1300002,3.0098,A1300008,7.9262,A1300033,8.7894,A1300002,3.0098,20241114_112037
대구,중구,삼덕동,41946,대구광역시 중구 달구벌대로447길 72-11,삼덕동행정복지센터,128.6089,35.865549,2711054500,6688,A1300002,2.3821,A1300033,7.8103,A1300008,8.3702,A1300002,2.3821,20241114_112038
대구,중구,성내1동,41942,대구광역시 중구 동성로2길 7,성내1동행정복지센터,128.5957865,35.8666483,2711056500,4821,A1303386,7.356,A1300008,8.5088,A1300002,8.6104,A1300002,8.6104,20241114_112038
대구,중구,성내2동,41934,대구광역시 중구 달구벌대로415길 48,성내2동행정복지센터,128.5903863,35.868375,2711057500,7834,A1300008,4.473,A1303386,5.953,A1300002,9.1062,A1300002,9.1062,20241114_112039
대구,중구,성내3동,41922,대구광역시 중구 달성로 111,성내3동행정복지센터,128.5818047,35.8750109,2711058500,12052,A1303386,6.6551,A1300008,8.8922,A1300001,12.0404,A1300001,12.0404,20241114_112040
