시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
대구,북구,침산1동,41551,대구광역시 북구 침산남로13길 16,침산1동행정복지센터,128.581175,35.8903321,2723055000,3607,A1300008,13.6119,A1303386,14.0955,A1300002,14.3309,A1300009,14.6183,20241110_184626
대구,북구,침산2동,41561,대구광역시 북구 침산남로 195,침산2동행정복지센터,128.5969766,35.8872842,2723056000,17237,A1300008,9.589,A1300002,10.0402,A1300009,10.1185,A1300009,10.1185,20241110_184627
대구,북구,침산3동,41550,대구광역시 북구 성북로 55,침산3동행정복지센터,128.5894316,35.89206,2723057000,18313,A1300002,9.1512,A1300008,10.8962,A1303386,13.9445,A1300009,10.8359,20241110_184628
대구,북구,태전1동,41456,대구광역시 북구 태전로7길 10-24,태전1동행정복지센터,128.5431895,35.9240581,2723072500,21695,A1300005,5.9689,A1300010,10.6297,A1300007,16.2735,A1300010,10.6297,20241110_184629
대구,북구,태전2동,41466,대구광역시 북구 칠곡중앙대로52길 32,태전2동행정복지센터,128.548766,35.9214797,2723073500,22645,A1300005,5.4386,A1300010,12.4443,A1300007,19.1511,A1300009,12.339,20241110_184631
대구,서구,내당1동,41864,대구광역시 서구 서대구로4길 35,내당1동행정복지센터,128.5607263,35.8606545,2717051000,9601,A1300110,8.2858,A1300076,8.9385,A1300004,10.1402,A1300004,10.1402,20241110_184631
대구,서구,내당2.3동,41811,대구광역시 서구 큰장로15길 11-1,내당2·3동행정복지센터,128.5707795,35.8632482,2717052500,8393,A1303386,6.8458,A1300076,7.8184,A1300001,8.6691,A1300009,10.6099,20241110_184632
대구,서구,내당4동,41853,대구광역시 서구 서대구로3길 46,내당4동행정복지센터,128.55175,35.8589404,2717054000,14735,A1300110,5.9662,A1300006,6.0069,A1300007,6.2326,A1300004,9.4468,20241110_184633
대구,서구,비산1동,41744,대구광역시 서구 북비산로65길 18,비산1동행정복지센터,128.5689458,35.8811924,2717055000,8403,A1300008,10.2051,A1303386,10.8229,A1300076,14.9357,A1300009,16.2783,20241110_184634
대구,서구,비산2.3동,41797,대구광역시 서구 국채보상로81길 43,비산2·3동행정복지센터,128.5747125,35.8758154,2717056500,8105,A1303386,8.08,A1300008,8.7303,A1300076,12.1804,A1300009,16.1491,20241110_184635
대구,서구,비산4동,41808,대구광역시 서구 국채보상로78길 29-4,비산4동행정복지센터,128.574308,35.8697526,2717058000,8820,A1303386,7.2284,A1300008,9.9778,A1300076,10.5251,A1300009,17.8456,20241110_184636
