hpid1,hpid2,travel_time,측정시각
A1300003,A2700031,86.2593,241031_003737
A1300003,A2700036,38.1091,241031_003737
A1300003,A2700038,42.8593,241031_003737
A1300003,A2700052,145.9896,241031_003737
A1300003,A2700063,62.1464,241031_003737
A1300003,A2700066,23.3729,241031_003737
A1300003,A2700070,35.3334,241031_003737
A1300003,A2700071,98.3434,241031_003737
A1300003,A2700097,61.7307,241031_003737
A1300003,A2702563,70.0886,241031_003737
A1300003,A2702752,84.282,241031_003737
A1300003,E2700553,341.3023,241031_003737
A1300003,E2700554,77.2382,241031_003737
A1300004,A1300001,6.7385,241031_003737
A1300004,A1300002,15.6692,241031_003737
A1300004,A1300003,21.4674,241031_003737
A1300004,A1300005,23.0118,241031_003737
A1300004,A1300006,9.8641,241031_003737
A1300004,A1300007,11.843,241031_003737
A1300004,A1300008,14.2365,241031_003737
A1300004,A1300009,17.9694,241031_003737
A1300004,A1300010,28.9069,241031_003737
A1300004,A1300011,13.3983,241031_003737
A1300004,A1300018,25.9152,241031_003737
A1300004,A1300033,15.3172,241031_003737
A1300004,A1300034,2.7158,241031_003737
A1300004,A1300038,12.6108,241031_003737
A1300004,A1300045,9.5482,241031_003737
A1300004,A1300076,5.1264,241031_003737
A1300004,A1300081,27.8001,241031_003737
A1300004,A1300110,9.6127,241031_003737
A1300004,A1303386,11.1127,241031_003737
A1300004,A1303449,26.7331,241031_003737
A1300004,A2700001,79.4303,241031_003737
A1300004,A2700002,72.3063,241031_003737
A1300004,A2700003,65.1677,241031_003737
A1300004,A2700004,77.8084,241031_003737
A1300004,A2700005,70.8902,241031_003737
A1300004,A2700006,81.5676,241031_003737
A1300004,A2700007,45.8612,241031_003737
A1300004,A2700008,65.1206,241031_003737
A1300004,A2700009,73.0627,241031_003737
A1300004,A2700011,75.8483,241031_003737
A1300004,A2700012,61.1403,241031_003737
A1300004,A2700013,43.4318,241031_003737
A1300004,A2700014,73.1332,241031_003737
A1300004,A2700015,48.6958,241031_003737
A1300004,A2700016,68.6432,241031_003737
A1300004,A2700017,51.1977,241031_003737
A1300004,A2700018,60.5139,241031_003737
A1300004,A2700019,29.5555,241031_003737
A1300004,A2700020,89.343,241031_003737
A1300004,A2700023,87.1079,241031_003737
A1300004,A2700026,107.5639,241031_003737
A1300004,A2700030,43.3539,241031_003737
A1300004,A2700031,90.8123,241031_003737
A1300004,A2700036,31.6633,241031_003737
A1300004,A2700038,36.7882,241031_003737
A1300004,A2700052,149.6678,241031_003737
A1300004,A2700063,68.1218,241031_003737
A1300004,A2700066,34.8065,241031_003737
A1300004,A2700070,35.5526,241031_003737
A1300004,A2700071,102.7921,241031_003737
A1300004,A2700097,64.2589,241031_003737
A1300004,A2702563,72.5454,241031_003737
A1300004,A2702752,88.9368,241031_003737
A1300004,E2700553,333.2135,241031_003737
A1300004,E2700554,84.5008,241031_003737
A1300005,A1300001,24.1634,241031_003737
A1300005,A1300002,18.1857,241031_003737
A1300005,A1300003,18.2903,241031_003737
A1300005,A1300004,22.49,241031_003737
A1300005,A1300006,14.7893,241031_003737
A1300005,A1300007,16.4009,241031_003737
A1300005,A1300008,19.5381,241031_003737
A1300005,A1300009,19.68,241031_003737
A1300005,A1300010,7.2079,241031_003737
A1300005,A1300011,22.5906,241031_003737
A1300005,A1300018,24.3675,241031_003737
A1300005,A1300033,19.6067,241031_003737
A1300005,A1300034,22.7501,241031_003737
A1300005,A1300038,18.4067,241031_003737
A1300005,A1300045,20.5507,241031_003737
A1300005,A1300076,22.0469,241031_003737
A1300005,A1300081,26.673,241031_003737
A1300005,A1300110,15.1883,241031_003737
A1300005,A1303386,21.576,241031_003737
A1300005,A1303449,30.4873,241031_003737
A1300005,A2700001,61.307,241031_003737
A1300005,A2700002,65.1431,241031_003737
A1300005,A2700003,57.9852,241031_003737
A1300005,A2700004,60.056,241031_003737
A1300005,A2700005,63.6295,241031_003737
A1300005,A2700006,66.1386,241031_003737
A1300005,A2700007,33.7238,241031_003737
A1300005,A2700008,57.9072,241031_003737
A1300005,A2700009,60.7294,241031_003737
A1300005,A2700011,59.6971,241031_003737
A1300005,A2700012,48.325,241031_003737
A1300005,A2700013,31.1327,241031_003737
A1300005,A2700014,55.2361,241031_003737
A1300005,A2700015,30.9316,241031_003737
A1300005,A2700016,61.4866,241031_003737
A1300005,A2700017,43.0404,241031_003737
A1300005,A2700018,47.8037,241031_003737
A1300005,A2700019,32.3533,241031_003737
A1300005,A2700020,74.1224,241031_003737
A1300005,A2700023,67.672,241031_003737
A1300005,A2700026,92.0876,241031_003737
A1300005,A2700030,33.0691,241031_003737
A1300005,A2700031,75.5349,241031_003737
A1300005,A2700036,33.7184,241031_003737
A1300005,A2700038,38.2798,241031_003737
A1300005,A2700052,134.5485,241031_003737
A1300005,A2700063,50.1472,241031_003737
A1300005,A2700066,23.0591,241031_003737
A1300005,A2700070,33.5916,241031_003737
A1300005,A2700071,87.3444,241031_003737
A1300005,A2700097,57.11,241031_003737
A1300005,A2702563,65.3509,241031_003737
A1300005,A2702752,73.659,241031_003737
A1300005,E2700553,342.313,241031_003737
A1300005,E2700554,66.609,241031_003737
A1300006,A1300001,12.1592,241031_003737
A1300006,A1300002,15.3463,241031_003737
A1300006,A1300003,14.1562,241031_003737
A1300006,A1300004,8.0977,241031_003737
A1300006,A1300005,16.6132,241031_003737
A1300006,A1300007,5.0076,241031_003737
A1300006,A1300008,13.9121,241031_003737
A1300006,A1300009,20.9049,241031_003737
A1300006,A1300010,21.3795,241031_003737
A1300006,A1300011,17.9492,241031_003737
A1300006,A1300018,28.7414,241031_003737
A1300006,A1300033,18.2619,241031_003737
A1300006,A1300034,8.7226,241031_003737
A1300006,A1300038,14.062,241031_003737
A1300006,A1300045,11.9017,241031_003737
A1300006,A1300076,10.0005,241031_003737
A1300006,A1300081,28.4718,241031_003737
A1300006,A1300110,1.1977,241031_003737
A1300006,A1303386,10.8565,241031_003737
A1300006,A1303449,27.8715,241031_003737
A1300006,A2700001,72.1998,241031_003737
A1300006,A2700002,69.7599,241031_003737
A1300006,A2700003,62.554,241031_003737
A1300006,A2700004,70.9412,241031_003737
A1300006,A2700005,68.1385,241031_003737
A1300006,A2700006,74.1027,241031_003737
A1300006,A2700007,38.6412,241031_003737
A1300006,A2700008,62.4096,241031_003737
A1300006,A2700009,65.8841,241031_003737
A1300006,A2700011,68.559,241031_003737
A1300006,A2700012,53.5005,241031_003737
A1300006,A2700013,36.1108,241031_003737
A1300006,A2700014,65.9287,241031_003737
A1300006,A2700015,41.5412,241031_003737
A1300006,A2700016,65.9592,241031_003737
A1300006,A2700017,46.6831,241031_003737
A1300006,A2700018,52.9641,241031_003737
A1300006,A2700019,34.8695,241031_003737
A1300006,A2700020,84.6945,241031_003737
A1300006,A2700023,78.4828,241031_003737
A1300006,A2700026,102.7338,241031_003737
A1300006,A2700030,36.8163,241031_003737
A1300006,A2700031,86.0802,241031_003737
A1300006,A2700036,35.8178,241031_003737
A1300006,A2700038,43.7923,241031_003737
A1300006,A2700052,145.1144,241031_003737
A1300006,A2700063,61.7449,241031_003737
A1300006,A2700066,26.9835,241031_003737
A1300006,A2700070,31.6715,241031_003737
A1300006,A2700071,98.2095,241031_003737
A1300006,A2700097,61.039,241031_003737
A1300006,A2702563,69.9128,241031_003737
A1300006,A2702752,84.2783,241031_003737
A1300006,E2700553,337.2227,241031_003737
A1300006,E2700554,77.1431,241031_003737
A1300007,A1300001,16.5977,241031_003737
A1300007,A1300002,19.8009,241031_003737
A1300007,A1300003,14.1412,241031_003737
A1300007,A1300004,11.6328,241031_003737
