시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수
경기,파주시,운정3동,10901,경기도 파주시 교하로 239,운정3동행정복지센터,126.7435272,37.7170907,4148057000,68480
경기,파주시,운정4동,10909,경기 파주시 하우3길 77,운정4동행정복지센터,126.7689073,37.7189107,4148058000,23499
경기,파주시,운정5동,10884,경기 파주시 책향기로 283 1층,운정5동행정복지센터,126.7105621,37.720227,4148059000,50378
경기,파주시,운정6동,10956,경기 파주시 청석로 115 5층,운정6동행정복지센터,126.720431,37.7126546,4148060000,24242
경기,파주시,월롱면,10946,경기도 파주시 월롱면 엘지로 17,월롱면행정복지센터,126.7892091,37.7992755,4148031000,8366
경기,파주시,장단면,10800,경기 파주시 군내면 통일촌길 220,장단면행정복지센터,126.7311805,37.9063884,4148039000,699
경기,파주시,적성면,10803,경기도 파주시 적성면 청송로 1013,적성면행정복지센터,126.917595,37.9542739,4148037000,6724
경기,파주시,조리읍,10937,경기도 파주시 조리읍 봉천로 64,조리읍행정복지센터,126.8051392,37.744754,4148026200,27848
경기,파주시,탄현면,10858,경기도 파주시 탄현면 방촌로649번길 24-7,탄현면행정복지센터,126.7161142,37.802541,4148032000,12784
경기,파주시,파주읍,10835,경기도 파주시 파주읍 술이홀로 295,파주읍행정복지센터,126.8199571,37.8307539,4148025300,13780
경기,파주시,파평면,10801,경기도 파주시 파평면 청송로 189-21,파평면행정복지센터,126.837603,37.9218857,4148036000,3532
경기,평택시,고덕동,18014,경기도 평택시 고덕면 고덕여염9길 37,고덕동행정복지센터,127.0504684,37.0405303,4122066000,49427
경기,평택시,고덕면,17770,경기도 평택시 고덕면 고덕로 283,고덕면행정복지센터,127.0177448,37.0423001,4122033000,12779
경기,평택시,동삭동,18032,경기도 평택시 상서재로2길 56-10,동삭동행정복지센터,127.1034274,37.0152299,4122065000,42024
경기,평택시,비전1동,17859,경기도 평택시 비전2로 330,비전1동행정복지센터,127.112164,37.0109407,4122062000,51120
경기,평택시,비전2동,17901,경기도 평택시 중앙로 261 ,비전2동행정복지센터,127.1117538,36.9903562,4122063000,56920
경기,평택시,서정동,17772,경기도 평택시 탄현로 170 ,서정동행정복지센터,127.0546899,37.0677879,4122052000,25150
경기,평택시,서탄면,17704,경기도 평택시 서탄면 금암2길 122 ,서탄면행정복지센터,127.035325,37.108232,4122032000,3451
경기,평택시,세교동,17828,"경기도 평택시 평택로 149, 1층",세교동행정복지센터,127.0794611,36.9987223,4122064000,37579
경기,평택시,송북동,17756,경기도 평택시 지산2로 113 ,송북동행정복지센터,127.0602396,37.0816288,4122056000,20858
경기,평택시,송탄동,17742,경기도 평택시 방여울로 117 ,송탄동행정복지센터,127.0950366,37.0444288,4122053500,23454
경기,평택시,신장1동,17752,경기도 평택시 신장로90번길 63 ,신장1동행정복지센터,127.0524069,37.0840297,4122057000,6811
경기,평택시,신장2동,17760,경기도 평택시 밀월로21번길 7 ,신장2동행정복지센터,127.0524346,37.0764515,4122058000,5020
경기,평택시,신평동,17912,경기도 평택시 평택3로 9 ,신평동행정복지센터,127.0927265,36.9900919,4122059000,20030
경기,평택시,안중읍,17941,경기도 평택시 안중읍 안현로 400 ,안중읍행정복지센터,126.9313225,36.9860645,4122025300,43452
경기,평택시,오성면,17819,경기도 평택시 오성면 숙성시장길 23 ,오성면행정복지센터,126.9801027,37.0077005,4122034000,6267
경기,평택시,용이동,17869,경기도 평택시 현촌5길 5-19,용이동행정복지센터,127.1337314,36.9975724,4122063500,25782
경기,평택시,원평동,17921,경기도 평택시 원평2로 9 ,원평동행정복지센터,127.0805337,36.9893304,4122060000,13107
경기,평택시,중앙동,17783,경기도 평택시 서정역로 16 ,중앙동행정복지센터,127.0560139,37.0554014,4122051000,42894
경기,평택시,지산동,17761,경기도 평택시 송탄로 379,지산동행정복지센터,127.0575964,37.0774217,4122055000,12374
경기,평택시,진위면,17712,경기도 평택시 진위면 봉남길 61 ,진위면행정복지센터,127.090581,37.1000622,4122031000,10756
경기,평택시,청북읍,17812,경기도 평택시 청북읍 청원로 2,청북읍행정복지센터,126.9343352,37.0398794,4122025900,26090
경기,평택시,통복동,17879,경기도 평택시 통복시장로48번길 41 ,통복동행정복지센터,127.0872017,37.0008153,4122061000,4454
경기,평택시,팽성읍,17990,경기도 평택시 팽성읍 동서촌로 89 ,팽성읍행정복지센터,127.0624052,36.9651726,4122025000,27740
경기,평택시,포승읍,17965,경기도 평택시 포승읍 서동대로 1174-16,포승읍행정복지센터,126.88515,36.982943,4122025600,22927
경기,평택시,현덕면,17946,경기도 평택시 현덕면 인광길 84 ,현덕면행정복지센터,126.9214991,36.9674003,4122037000,5762
경기,포천시,가산면,11164,경기도 포천시 가산면 선마로 223,가산면행정복지센터,127.186376,37.8487077,4165033000,7012
경기,포천시,관인면,11101,경기도 포천시 관인면 관인로 14 ,관인면행정복지센터,127.2511782,38.1577479,4165040000,2528
경기,포천시,군내면,11152,포천시 군내면 청군로3290번길 16,군내면행정복지센터,127.2179698,37.8890018,4165031000,9722
경기,포천시,내촌면,11189,경기도 포천시 내촌면 내촌로 70,내촌면행정복지센터,127.22855,37.786225,4165032000,4216
경기,포천시,선단동,11161,경기도 포천시 삼육사로2186번길 11,선단동행정복지센터,127.1591331,37.8542533,4165052000,14146
경기,포천시,소흘읍,11180,경기도 포천시 소흘읍 호국로 567,소흘읍행정복지센터,127.1387637,37.8233306,4165025000,42503
경기,포천시,신북면,11139,경기도 포천시 신북면 호국로 2065,신북면행정복지센터,127.2265365,37.9339599,4165034000,11367
경기,포천시,영북면,11104,경기도 포천시 영북면 영북로 166,영북면행정복지센터,127.2755059,38.0891474,4165039000,7464
경기,포천시,영중면,11129,경기도 포천시 영중면 양문로 151,영중면행정복지센터,127.2451428,38.0055852,4165036000,4556
경기,포천시,이동면,11111,경기도 포천시 이동면 화동로 2048,이동면행정복지센터,127.367245,38.030679,4165038000,5615
