시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,청송군,주왕산면,37438,경상북도 청송군 주왕산면 이전앞길 1,주왕산면행정복지센터,129.1593984,36.3568891,4775031500,1784,E2700554,22.3261,A2700026,50.9167,A2700008,75.3922,A2700002,80.4941,20241107_010227
경북,청송군,진보면,37405,경상북도 청송군 진보면 진안동2길 4-10,진보면행정복지센터,129.046675,36.529475,4775037000,6211,E2700554,17.3718,A2700026,21.4074,A2700001,39.498,A2700004,40.3522,20241107_010228
경북,청송군,청송읍,37429,경상북도 청송군 청송읍 중앙로 253,청송읍행정복지센터,129.0567498,36.434162,4775025000,4870,E2700554,1.8093,A2700026,35.2577,A2700004,36.5757,A2700004,36.5757,20241107_010229
경북,청송군,파천면,37416,경상북도 청송군 파천면 청송로 5544,파천면행정복지센터,129.037813,36.463051,4775036000,1669,E2700554,6.2463,A2700026,26.7011,A2700014,28.7195,A2700004,30.1015,20241107_010230
경북,청송군,현동면,37456,경상북도 청송군 현동면 청송로 2647,현동면행정복지센터,129.016838,36.290667,4775033000,2023,E2700554,21.8964,A2700026,52.8631,A2700001,54.8434,A2700003,67.2221,20241107_010231
경북,청송군,현서면,37462,경상북도 청송군 현서면 구산동로 27,현서면행정복지센터,128.895937,36.2758773,4775034000,2395,E2700554,36.3633,A2700017,42.8284,A2700014,42.8643,A2700004,43.6995,20241107_010233
경북,칠곡군,가산면,39852,경상북도 칠곡군 가산면 경북대로 1570,가산면행정복지센터,128.5389035,36.085977,4785033000,3217,A2700015,16.2464,A1300010,17.0884,A1300005,19.3072,A1300009,17.0102,20241107_010234
경북,칠곡군,기산면,39914,경상북도 칠곡군 기산면 주산로 1213,기산면행정복지센터,128.382786,35.9863749,4785037000,2955,A2700066,5.8406,A2700030,13.0722,A2700013,17.4996,A2700013,17.4996,20241107_010234
경북,칠곡군,동명면,39859,경상북도 칠곡군 동명면 금암중앙길 56,동명면행정복지센터,128.5534526,35.9840481,4785032000,5071,A1300010,7.2838,A1300005,9.7734,A1300007,23.2476,A1300010,7.2838,20241107_010236
경북,칠곡군,북삼읍,39808,경상북도 칠곡군 북삼읍 인평1길 6,북삼읍행정복지센터,128.3429453,36.0629252,4785025300,23294,A2700013,12.1235,A2700066,13.1379,A2700007,14.4042,A2700013,12.1235,20241107_010236
경북,칠곡군,석적읍,39844,경상북도 칠곡군 석적읍 남율로7길 7,석적읍행정복지센터,128.4010545,36.0667815,4785025600,30264,A2700066,10.0431,A2700013,10.4179,A2700015,12.3997,A2700013,10.4179,20241107_010237
경북,칠곡군,약목면,39824,경상북도 칠곡군 약목면 복성1길 15,약목면행정복지센터,128.363738,36.03275,4785036000,8780,A2700066,7.9673,A2700013,16.5939,A2700030,16.9381,A2700013,16.5939,20241107_010238
경북,칠곡군,왜관읍,39895,"경상북도 칠곡군 석적읍 강변대로 1580, 컨벤션홀 (임시청사)",왜관읍행정복지센터,128.4040784,36.0178781,4785025000,30739,A2700066,6.0964,A2700013,16.3562,A2700015,19.2146,A2700013,16.3562,20241107_010238
경북,칠곡군,지천면,39864,경상북도 칠곡군 지천면 신동로 171,지천면행정복지센터,128.4910544,35.9562001,4785031000,3799,A1300005,15.1886,A1300010,18.5426,A1300003,20.7791,A1300010,18.5426,20241107_010239
경북,포항시 남구,구룡포읍,37936,경상북도 포항시 남구 구룡포읍 호미로 133,구룡포읍행정복지센터,129.5461489,35.9851252,4711125000,6695,A2700002,22.2938,A2700008,25.4571,A2700016,26.5358,A2700002,22.2938,20241107_010241
